dataset,split,model,mae,rmse,r2
diabetes,validation,linear_regression,38.22127405114378,49.14969247001349,0.5809667034070141
diabetes,test,linear_regression,46.724016551396154,56.970267692676664,0.4389137589815665
diabetes,validation,ridge,38.293931787249,49.20325404711292,0.5800529107676584
diabetes,test,ridge,46.79406568459081,57.08344544384647,0.4366822245724207
diabetes,validation,random_forest,41.78732212137611,53.15273605480763,0.5099299366775345
diabetes,test,random_forest,45.10632755093428,55.9488495607238,0.45885279400625745
diabetes,validation,mlp,40.76409785215285,52.525502422037064,0.521427924042023
diabetes,test,mlp,45.826743599998615,56.84735542998081,0.44133221294278113
