dataset,split,model,mae,rmse,r2
castings,validation,linear_regression,1232.4994948655055,1834.3524387022983,0.6733249073321026
castings,test,linear_regression,1033.6944899405626,1645.3407951211734,0.8634793977548632
castings,validation,ridge,993.1652731264328,1320.6379460888554,0.8306762010927177
castings,test,ridge,1240.324940719045,1924.4570968062985,0.8132318010753076
castings,validation,random_forest,787.5764243627094,1230.9762395805633,0.8528874238896991
castings,test,random_forest,790.431747093063,1596.9069643927025,0.8713986008709274
castings,validation,mlp,955.8215992160583,1313.516782515251,0.8324973384504674
castings,test,mlp,1528.659445979539,2618.0022970856107,0.6543579993668928
